date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:15	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Feb%202026%2021:48:49%20GMT	http://airfoils.com/robots.txt		(from )
16:52:15	16337/16337	---M-Z	200	added ('OK')	text/html	etag:%223fd1-4742a40f3a380-gzip%22	http://airfoils.com/	legacy/airfoils.com/index.html	(from )
16:52:16	351/351	---M--	200	added ('OK')	image/gif	etag:%2215f-36592c76445c0%22	http://airfoils.com/graphics/design_on.gif	legacy/airfoils.com/graphics/design_on.gif	(from http://airfoils.com/)
16:52:17	291/291	---M--	200	added ('OK')	image/gif	etag:%22123-36592c782ca40%22	http://airfoils.com/graphics/main_on.gif	legacy/airfoils.com/graphics/main_on.gif	(from http://airfoils.com/)
16:52:18	305/305	---M--	200	added ('OK')	image/gif	etag:%22131-36592c7a14ec0%22	http://airfoils.com/graphics/airfoil_on.gif	legacy/airfoils.com/graphics/airfoil_on.gif	(from http://airfoils.com/)
16:52:19	264/264	---M--	200	added ('OK')	image/gif	etag:%22108-36592c7b09100%22	http://airfoils.com/graphics/clients_on.gif	legacy/airfoils.com/graphics/clients_on.gif	(from http://airfoils.com/)
16:52:20	269/269	---M--	200	added ('OK')	image/gif	etag:%2210d-36592c7cf1580%22	http://airfoils.com/graphics/contact_on.gif	legacy/airfoils.com/graphics/contact_on.gif	(from http://airfoils.com/)
16:52:21	331/331	---M--	200	added ('OK')	image/gif	etag:%2214b-36592c7fcdc40%22	http://airfoils.com/graphics/integration_on.gif	legacy/airfoils.com/graphics/integration_on.gif	(from http://airfoils.com/)
16:52:22	298/298	---M--	200	added ('OK')	image/gif	etag:%2212a-36592c81b60c0%22	http://airfoils.com/graphics/eppler_on.gif	legacy/airfoils.com/graphics/eppler_on.gif	(from http://airfoils.com/)
16:52:23	255/255	---M--	200	added ('OK')	image/gif	etag:%22ff-36592c839e540%22	http://airfoils.com/graphics/links_on.gif	legacy/airfoils.com/graphics/links_on.gif	(from http://airfoils.com/)
16:52:24	299/299	---M--	200	added ('OK')	image/gif	etag:%2212b-36592c867ac00%22	http://airfoils.com/graphics/pubs_on.gif	legacy/airfoils.com/graphics/pubs_on.gif	(from http://airfoils.com/)
16:52:25	304/304	---M--	200	added ('OK')	image/gif	etag:%22130-36592c8a4b500%22	http://airfoils.com/graphics/specs_on.gif	legacy/airfoils.com/graphics/specs_on.gif	(from http://airfoils.com/)
16:52:26	305/305	---M--	200	added ('OK')	image/gif	etag:%22131-36592c8c33980%22	http://airfoils.com/graphics/tunnel_on.gif	legacy/airfoils.com/graphics/tunnel_on.gif	(from http://airfoils.com/)
16:52:27	268/268	---M--	200	added ('OK')	image/gif	etag:%2210c-36592c8863080%22	http://airfoils.com/graphics/resume_on.gif	legacy/airfoils.com/graphics/resume_on.gif	(from http://airfoils.com/)
16:52:28	299/299	---M--	200	added ('OK')	image/gif	etag:%2212b-36592c96b1240%22	http://airfoils.com/graphics/apps_on.gif	legacy/airfoils.com/graphics/apps_on.gif	(from http://airfoils.com/)
16:52:29	261/261	---M--	200	added ('OK')	image/gif	etag:%22105-36a4acbd52680%22	http://airfoils.com/graphics/why_on.gif	legacy/airfoils.com/graphics/why_on.gif	(from http://airfoils.com/)
16:52:30	85/85	---M--	200	added ('OK')	image/gif	etag:%2255-36592c94c8dc0%22	http://airfoils.com/graphics/lleft_gry.gif	legacy/airfoils.com/graphics/lleft_gry.gif	(from http://airfoils.com/)
16:52:31	1506/1506	---M--	200	added ('OK')	image/gif	etag:%225e2-3661fd34a1940%22	http://airfoils.com/graphics/title.gif	legacy/airfoils.com/graphics/title.gif	(from http://airfoils.com/)
16:52:32	85/85	---M--	200	added ('OK')	image/gif	etag:%2255-36592c95bd000%22	http://airfoils.com/graphics/right_gry.gif	legacy/airfoils.com/graphics/right_gry.gif	(from http://airfoils.com/)
16:52:33	49/49	---M--	200	added ('OK')	image/gif	etag:%2231-36592c98996c0%22	http://airfoils.com/graphics/spacer.gif	legacy/airfoils.com/graphics/spacer.gif	(from http://airfoils.com/)
16:52:34	21023/21023	---M-Z	200	added ('OK')	text/html	etag:%22521f-4742a143f8c00-gzip%22	http://airfoils.com/airfoil.htm	legacy/airfoils.com/airfoil.html	(from http://airfoils.com/)
16:52:35	429/429	---M--	200	added ('OK')	image/gif	etag:%221ad-36592c7920c80%22	http://airfoils.com/graphics/airfoil.gif	legacy/airfoils.com/graphics/airfoil.gif	(from http://airfoils.com/)
16:52:36	33744/33744	---M-Z	200	added ('OK')	text/html	etag:%2283d0-47454bf55f8c0-gzip%22	http://airfoils.com/apps.htm	legacy/airfoils.com/apps.html	(from http://airfoils.com/)
16:52:37	422/422	---M--	200	added ('OK')	image/gif	etag:%221a6-36592c97a5480%22	http://airfoils.com/graphics/apps.gif	legacy/airfoils.com/graphics/apps.gif	(from http://airfoils.com/)
16:52:38	17924/17924	---M-Z	200	added ('OK')	text/html	etag:%224604-4742a3acffbc0-gzip%22	http://airfoils.com/clients.htm	legacy/airfoils.com/clients.html	(from http://airfoils.com/)
16:52:39	388/388	---M--	200	added ('OK')	image/gif	etag:%22184-36592c7bfd340%22	http://airfoils.com/graphics/clients.gif	legacy/airfoils.com/graphics/clients.gif	(from http://airfoils.com/)
16:52:40	17444/17444	---M-Z	200	added ('OK')	text/html	etag:%224424-4742a4d873e40-gzip%22	http://airfoils.com/contact.htm	legacy/airfoils.com/contact.html	(from http://airfoils.com/)
